,UserName,Area Of Focus
409,duncanjeremy,Sheikh Zayed City
410,duncanjeremy,Markaz Al Hamam
411,duncanjeremy,Dokki
412,tylerjohnson,Shorouk City
413,tylerjohnson,New Cairo City
414,tylerjohnson,Hay Awal El Montazah
415,tylerjohnson,Sidi Heneish
416,tylerjohnson,Al Ain Al Sokhna
417,tylerjohnson,Dokki
418,tylerjohnson,New Heliopolis
419,joseph24,New Damietta
420,joseph24,Al Alamein
421,joseph24,Tanta
422,johnsonalexander,Qesm Borg El Arab
423,johnsonalexander,Ras Al Hekma
424,johnsonalexander,Tanta
425,johnsonalexander,Al Agouza
426,josephfarley,Hay Sharq
427,josephfarley,Qesm Ad Dabaah
428,josephfarley,Qesm Marsa Matrouh
429,josephfarley,Mohandessin
430,jennifer31,Tanta
431,jennifer31,Hadayek El Ahram
432,jennifer31,Hay Sharq
433,jennifer31,New Damietta
434,jennifer31,Markaz Al Hamam
435,jennifer31,Sidi Heneish
436,schwartzroberta,Tanta
437,schwartzroberta,Hay Wasat
438,schwartzroberta,Hay Sharq
439,schwartzroberta,Ras Al Hekma
440,schwartzroberta,Hay Awal El Montazah
441,schwartzroberta,New Cairo City
442,colemanshane,Qesm Ad Dabaah
443,colemanshane,New Heliopolis
444,colemanshane,New Capital City
445,colemanshane,Qesm Borg El Arab
446,nancy34,Hay Than El Montazah
447,nancy34,Markaz Al Hamam
448,nancy34,Mohandessin
449,nancy34,Hay Sharq
450,nancy34,Qesm Borg El Arab
451,nancy34,Garawla
452,nancy34,New Capital City
453,nancy34,Al Mansoura
454,mark59,Sidi Abdel Rahman
455,mark59,Sheikh Zayed City
456,mark59,Obour City
457,doughertychelsea,Garawla
458,doughertychelsea,Qesm Borg El Arab
459,doughertychelsea,Qesm Marsa Matrouh
460,doughertychelsea,Dokki
461,doughertychelsea,Hay Than El Montazah
462,justinnguyen,Alexandria Compounds
463,justinnguyen,Qesm Ad Dabaah
464,lisa72,Dokki
465,lisa72,Hurghada
466,lisa72,Alexandria Compounds
467,thomas13,Mostakbal City - Future City
468,rachel01,Tanta
469,rachel01,Sidi Heneish
470,rachel01,Sheikh Zayed City
471,rachel01,None
472,derek15,Sidi Abdel Rahman
473,derek15,Hadayek El Ahram
474,derek15,Qesm Borg El Arab
475,gilmoreandrea,Sidi Abdel Rahman
476,walkersharon,Hay Awal El Montazah
477,walkersharon,New Damietta
478,walkersharon,Tanta
479,walkersharon,Ras Al Hekma
480,walkersharon,Mostakbal City - Future City
481,walkersharon,Garawla
482,walkersharon,New Heliopolis
483,kgonzalez,None
484,kgonzalez,Qesm Ad Dabaah
485,kgonzalez,Al Ain Al Sokhna
486,kgonzalez,Ras Al Hekma
487,kgonzalez,Hay Masr El Kadima
488,kgonzalez,Hay Wasat
489,kgonzalez,Mohandessin
490,waltonjacqueline,Qesm Borg El Arab
491,waltonjacqueline,Ras Sedr
492,waltonjacqueline,El Nozha
493,waltonjacqueline,Al Agouza
494,waltonjacqueline,Markaz Al Hamam
495,waltonjacqueline,Sidi Heneish
496,waltonjacqueline,Qesm Ad Dabaah
497,waltonjacqueline,Ras Al Hekma
498,rasmussenpaula,Heliopolis - Masr El Gedida
499,rasmussenpaula,Dokki
500,rasmussenpaula,Mostakbal City - Future City
501,rasmussenpaula,Hadayek El Ahram
502,kathleen73,El Nozha
503,kathleen73,Ras Al Hekma
504,christopher86,Qesm Borg El Arab
505,christopher86,Hay El Haram
506,christopher86,Shorouk City
507,christopher86,New Heliopolis
508,christopher86,Hay El Maadi
509,christopher86,New Damietta
510,wbrown,Ras Al Hekma
511,wbrown,Qesm Marsa Matrouh
512,wbrown,Dokki
513,christopher17,New Cairo City
514,christopher17,Ras Sedr
515,howardjennifer,Mohandessin
516,david25,Nasr City
517,david25,Hay Sharq
518,david25,Alexandria Compounds
519,david25,Qesm Borg El Arab
520,david25,Al Alamein
521,david25,Ras Al Hekma
522,david25,Hay El Maadi
523,david25,Hurghada
524,ubrown,Al Agouza
525,ubrown,New Capital City
526,ubrown,New Damietta
527,ubrown,Mostakbal City - Future City
528,ubrown,Al Mansoura
529,ubrown,New Heliopolis
530,matthewkane,Sidi Heneish
531,matthewkane,New Cairo City
532,matthewkane,Qesm Borg El Arab
533,matthewkane,Mohandessin
534,matthewkane,None
535,james58,Badr City
536,james58,Hay El Maadi
537,james58,El Nozha
538,james58,Hay Sharq
539,james58,Qesm Marsa Matrouh
540,james58,Al Mansoura
541,james58,Al Agouza
542,james58,6 October City
543,matthewcarroll,Hay Awal El Montazah
544,matthewcarroll,Hurghada
545,matthewcarroll,Badr City
546,matthewcarroll,Sidi Abdel Rahman
547,matthewcarroll,Al Mansoura
548,michael66,Mostakbal City - Future City
549,michael66,Mohandessin
550,michael66,Hay El Maadi
551,michael66,Shorouk City
552,michael66,Al Agouza
553,mathewmueller,Dokki
554,mathewmueller,Markaz Al Hamam
555,mathewmueller,Shorouk City
556,mathewmueller,Mohandessin
557,robertsmichael,Hay El Maadi
558,darlene67,New Damietta
559,darlene67,Qesm Ad Dabaah
560,darlene67,Hay El Maadi
561,darlene67,Al Mansoura
562,darlene67,Qesm Borg El Arab
563,susan83,6 October City
564,susan83,Sheikh Zayed City
565,susan83,Alexandria Compounds
566,susan83,New Capital City
567,josephwarren,Dokki
568,donna86,Shorouk City
569,melissa28,Hay El Haram
570,melissa28,New Damietta
571,melissa28,Al Mansoura
572,melissa28,Heliopolis - Masr El Gedida
573,melissa28,Qesm Borg El Arab
574,melissa28,Badr City
575,melissa28,Hay Awal El Montazah
576,melissa28,Hay Sharq
577,wilsonchristopher,Al Ain Al Sokhna
578,wilsonchristopher,Garawla
579,brandonreid,Alexandria Compounds
580,brandonreid,Tanta
581,brandonreid,Hay Than El Montazah
582,boydjames,Marsa Matrouh
583,boydjames,Shorouk City
584,boydjames,Badr City
585,boydjames,Al Agouza
586,boydjames,Ras Sedr
587,boydjames,New Heliopolis
588,boydjames,New Cairo City
589,boydjames,Alexandria Compounds
590,udavis,New Cairo City
591,udavis,6 October City
592,udavis,Mohandessin
593,udavis,Marsa Matrouh
594,udavis,Markaz Al Hamam
595,udavis,Hay Awal El Montazah
596,keith77,Alexandria Compounds
597,jessica43,Dokki
598,jessica43,New Heliopolis
599,jessica43,6 October City
600,jessica43,Qesm Borg El Arab
601,jessica43,Hay Masr El Kadima
602,jessica43,Obour City
603,kavila,Mohandessin
604,kavila,Badr City
605,kavila,Hay El Haram
606,kavila,Tanta
607,kavila,Hay Masr El Kadima
608,kavila,New Damietta
609,robert43,Heliopolis - Masr El Gedida
610,jeffrey23,Hay El Haram
611,jeffrey23,Mostakbal City - Future City
612,jeffrey23,Hay Than El Montazah
613,jeffrey23,New Damietta
614,jeffrey23,Hadayek El Ahram
615,jeffrey23,None
616,ngalvan,Hay El Maadi
617,douglas47,Qesm Ad Dabaah
618,douglas47,El Nozha
619,douglas47,Sidi Abdel Rahman
620,douglas47,Al Alamein
621,douglas47,Heliopolis - Masr El Gedida
622,robinsonpatrick,Sidi Heneish
623,robinsonpatrick,None
624,robinsonpatrick,Tanta
625,robinsonpatrick,El Nozha
626,davisamber,Al Agouza
627,davisamber,Hay El Maadi
628,davisamber,New Capital City
629,davisamber,Qesm Borg El Arab
630,davisamber,Ras Al Hekma
631,davisamber,Hay Awal El Montazah
632,nathan25,Hay Awal El Montazah
633,nathan25,Heliopolis - Masr El Gedida
634,nathan25,Sidi Abdel Rahman
635,nathan25,Badr City
636,nathan25,Sidi Heneish
637,smithalexis,Ras Al Hekma
638,smithalexis,Marsa Matrouh
639,smithalexis,Ras Sedr
640,seanclayton,New Heliopolis
641,seanclayton,New Capital City
642,seanclayton,Hay El Haram
643,seanclayton,Obour City
644,seanclayton,Hay Wasat
645,vwilliams,Qesm Ad Dabaah
646,randy13,Hay Masr El Kadima
647,randy13,Ras Al Hekma
648,randy13,Obour City
649,randy13,El Nozha
650,randy13,Sidi Abdel Rahman
651,randy13,Tanta
652,randy13,Hay Awal El Montazah
653,randy13,Mostakbal City - Future City
654,alee,Hadayek El Ahram
655,alee,Sidi Abdel Rahman
656,alee,Dokki
657,wilsonbrittany,6 October City
658,wilsonbrittany,Sidi Abdel Rahman
659,yrichardson,Hay Awal El Montazah
660,yrichardson,Sidi Heneish
661,yrichardson,Heliopolis - Masr El Gedida
662,yrichardson,Markaz Al Hamam
663,yrichardson,New Damietta
664,yrichardson,Badr City
665,priscillataylor,Dokki
666,priscillataylor,Shorouk City
667,rgay,Hadayek El Ahram
668,nrodriguez,Qesm Marsa Matrouh
669,nrodriguez,Hay Awal El Montazah
670,nrodriguez,Garawla
671,nrodriguez,Hay El Haram
672,nrodriguez,Tanta
673,nrodriguez,Heliopolis - Masr El Gedida
674,leonardtimothy,6 October City
675,leonardtimothy,Alexandria Compounds
676,leonardtimothy,Al Mansoura
677,leonardtimothy,Mohandessin
678,leonardtimothy,Hay Wasat
679,watkinslori,Dokki
680,watkinslori,Qesm Ad Dabaah
681,watkinslori,Sidi Abdel Rahman
682,watkinslori,Sidi Heneish
683,ijohnson,Qesm Ad Dabaah
684,ijohnson,Sidi Heneish
685,ijohnson,Shorouk City
686,ijohnson,El Nozha
687,ijohnson,Marsa Matrouh
688,ijohnson,Badr City
689,ijohnson,Qesm Marsa Matrouh
690,juan36,Al Agouza
691,juan36,Hadayek El Ahram
692,juan36,Qesm Ad Dabaah
693,chandlerchad,None
694,chandlerchad,Ras Al Hekma
695,chandlerchad,Al Ain Al Sokhna
696,carriebarker,Obour City
697,carriebarker,Nasr City
698,carriebarker,Hay Than El Montazah
699,carriebarker,Qesm Borg El Arab
700,carriebarker,Hay Sharq
701,kevinrangel,Hay Sharq
702,kevinrangel,Al Agouza
703,stephentorres,New Heliopolis
704,stephentorres,New Cairo City
705,stephentorres,Hadayek El Ahram
706,ytran,Markaz Al Hamam
707,ytran,Mostakbal City - Future City
708,sarah55,Ras Al Hekma
709,sarah55,Qesm Borg El Arab
710,sarah55,Hay Masr El Kadima
711,sarah55,New Heliopolis
712,sarah55,Hay Sharq
713,sarah55,Marsa Matrouh
714,kevin24,Qesm Borg El Arab
715,kevin24,Alexandria Compounds
716,kevin24,Hay Than El Montazah
717,vasquezchad,Hay Sharq
718,vasquezchad,Mostakbal City - Future City
719,vasquezchad,Hay Than El Montazah
720,vasquezchad,None
721,amy09,None
722,amy09,Al Alamein
723,amy09,Qesm Ad Dabaah
724,amy09,Ras Sedr
725,amy09,Obour City
726,amy09,Hay Sharq
727,kimlewis,Hay Sharq
728,clintonwood,Hay Than El Montazah
729,clintonwood,Dokki
730,clintonwood,Al Ain Al Sokhna
731,clintonwood,Ras Sedr
732,clintonwood,Nasr City
733,clintonwood,Garawla
734,clintonwood,None
735,flynnbrett,Sidi Heneish
736,flynnbrett,Hay Awal El Montazah
737,flynnbrett,Shorouk City
738,flynnbrett,Tanta
739,garrisonbrent,Al Alamein
740,garrisonbrent,6 October City
741,garrisonbrent,Al Mansoura
742,wendyreynolds,Hurghada
743,wendyreynolds,Hay El Maadi
744,wendyreynolds,Qesm Borg El Arab
745,wendyreynolds,Sidi Abdel Rahman
746,wendyreynolds,El Nozha
747,wendyreynolds,Hadayek El Ahram
748,uolson,Marsa Matrouh
749,uolson,None
750,uolson,6 October City
751,acostabarbara,None
752,acostabarbara,6 October City
753,acostabarbara,New Cairo City
754,acostabarbara,Markaz Al Hamam
755,acostabarbara,Mostakbal City - Future City
756,acostabarbara,Ras Sedr
757,acostabarbara,Qesm Marsa Matrouh
758,aaronmorrison,Sheikh Zayed City
759,aaronmorrison,Hadayek El Ahram
760,aaronmorrison,Hay Awal El Montazah
761,aaronmorrison,Badr City
762,blakerichard,New Cairo City
763,blakerichard,Hay El Maadi
764,blakerichard,Ras Sedr
765,blakerichard,Hadayek El Ahram
766,blakerichard,Al Mansoura
767,blakerichard,Badr City
768,blakerichard,Dokki
769,astevenson,Qesm Borg El Arab
770,brandon68,Qesm Marsa Matrouh
771,brandon68,Al Mansoura
772,smithdebra,Shorouk City
773,smithdebra,Tanta
774,smithdebra,Obour City
775,smithdebra,Al Agouza
776,smithdebra,Hay El Maadi
777,smithdebra,Hay Than El Montazah
778,smithdebra,Hay Wasat
779,smithdebra,Garawla
780,lynnsean,Sheikh Zayed City
781,lynnsean,Hurghada
782,lynnsean,Al Ain Al Sokhna
783,lynnsean,New Capital City
784,lynnsean,Garawla
785,usmith,Mostakbal City - Future City
786,usmith,Al Alamein
787,usmith,Garawla
788,usmith,Hadayek El Ahram
789,usmith,Al Ain Al Sokhna
790,anita93,Markaz Al Hamam
791,anita93,New Capital City
792,anita93,Hay Sharq
793,anita93,Shorouk City
794,anita93,Al Agouza
795,anita93,Hay Wasat
796,hayeslisa,Nasr City
797,hayeslisa,None
798,hayeslisa,Alexandria Compounds
799,alewis,Qesm Marsa Matrouh
800,alewis,None
801,alewis,Hay Masr El Kadima
802,alewis,6 October City
803,alewis,Ras Al Hekma
804,alewis,Hay El Maadi
805,alewis,New Capital City
806,dperry,Sidi Abdel Rahman
807,dperry,Hay El Maadi
808,dperry,Al Mansoura
809,dperry,Nasr City
810,dperry,New Damietta
811,janice67,Mostakbal City - Future City
812,janice67,Hay Masr El Kadima
813,janice67,Sheikh Zayed City
814,janice67,Qesm Ad Dabaah
815,janice67,Badr City
816,janice67,New Capital City
817,janice67,New Heliopolis
818,janice67,Nasr City
819,laurapatterson,Shorouk City
820,laurapatterson,Hay Wasat
821,laurapatterson,Al Ain Al Sokhna
822,laurapatterson,Sidi Abdel Rahman
823,ryanmiller,Tanta
824,ryanmiller,Shorouk City
825,ramirezdylan,New Capital City
826,ramirezdylan,Sidi Abdel Rahman
827,ramirezdylan,None
828,ramirezdylan,Mostakbal City - Future City
829,ramirezdylan,Nasr City
830,ramirezdylan,Heliopolis - Masr El Gedida
831,ramirezdylan,El Nozha
832,kwright,Hurghada
833,kwright,Shorouk City
834,kwright,Sidi Heneish
835,kwright,Sidi Abdel Rahman
836,kwright,Alexandria Compounds
837,kwright,New Cairo City
838,mfox,Sheikh Zayed City
839,ernestdorsey,Mohandessin
840,ernestdorsey,Hay Wasat
841,ernestdorsey,None
842,ernestdorsey,Hurghada
843,ernestdorsey,New Capital City
844,ernestdorsey,Al Mansoura
845,ernestdorsey,Heliopolis - Masr El Gedida
846,ernestdorsey,Dokki
