,Unnamed: 0,Company Name,Phone Num,Address,# Active Listings,About
31,31,RetajRealEstateConsultancy,2.01064E+11,"16 Nasr Ahmed Zaki, From elbatrawy street, Cairo. Egypt",162.0,"شركة ريتاج   للتسويق العقاري نحن شركة رائده في عالم التسويق العقاري نتميز عن الاخرون بعروضنة المميزة ومعاملاتنا الخاصه مع اصحاب المشاريع الضخمة والأسعار التي نعرضها لا تقبل المنافسه .نحن شركة متخصصة في تسويق العقارات وتقديم كافة الخدمات التسويقية والوساطة العقارية للأفراد والشركات وذلك بإتباع جميع وسائل التسويق الاحترافية .. سواء الوسائل التقليدية منها أو الوسائل الالكترونية او من خلال موقعنا الالكتروني .. وذلك بوسائل التسويق المختلفة .. ( عن طريق الإعلانات التجارية بالجرائد المختلفة وعلى الانترنت – وعرض وحداتكم في المعارض العقارية المصرية والعربية – وعمل الكتالوجات والماكيتات اللازمة ) اماكن المشاريع التي نعمل بها فى القاهرة هي مدينة نصر و مصر الجديدة والقاهره الجديده ومدينة الشيخ زايد والعين السخنة والساحل الشمالي ,,اذا كنت تمتلك وحده وتريد تشطيبها بدون عناء التشطيب فنحن نتكفل بكافة أعمال الديكور و التشطيبات من الصفر ونقوم بتنفيذ مفهوم جديد للتصميم الداخلي للشقق و الفيلات و المعارض والمحلات والمطاعم والكافيهات والصيدليات والمولات كاملة وغيرها عن طريق تنفيذ تصميمات مبنية على أسس و أبعاد و ضعت لتلبية الاحتياجات الوظيفية للمكان بأحدث الديكورات العالمية وأسعار مناسبة لكافة المستويات و خامات ذات جوده عاليه,ولدينا مجموعه كبيره من التصميمات الرائعة لإرضاء كافه الأذواق . ونتشرف بالتعامل الجاد مع العملاء"
32,32,FutureHomeRealEstate,2.01095E+11,٢٢ منشية التحرير ، مصر الجديدة ,48.0,
33,33,RE/MAXAvalon,2.01022E+11,"Cotton towers, Alexandria , Egypt  ",1221.0,"RE/MAX is a global real estate marketing company specialized in luxurious real estates, RE/MAX has a presence in more than 100 country with more than 7,000 branch and 100,000 real estate agent, RE/MAX Avalon is the representative of RE/MAX at Alexandria Governorate, we have the honor to serve you with our professional real estate evaluation and marketing (Buy – Sell – Rent – property Management) at Alexandria, king Marriott and North Cost."
34,34,PropertyhillsPlus,2.01155E+11,"30, , Sheikh Zayed City, 7th District, Giza, Egypt",48.0,
35,35,Onyxforrealestate,2.01093E+11,122 District 3 /4 Fifth Settlement Cairo Egypt ,349.0,Bluebrick is your own personal consultant for choosing your right property whether it's your new home or your new investment.
38,38,NewSakanRealEstate,2.01002E+11,اكتوبر وحدة اداريه ٣٠٣ منتجع لاند مول,36.0,
40,40,المختارللعقاراتوالتشطيبات,2.01156E+11,10س بوابة منقرع شارع الضغط,,
41,البوابة الثالثة حدائق الاهرام,44,,,,
42,41,SweetHome,2.01115E+11,The fifth gathering - Elnargs 3 - B 25 - New Cairo ,198.0,
47,45,ElSawyGroupforRealEstateInvestment,2.01151E+11,"Ap No 02 , 02 Ammar Ibn Yasser , Helliopolis, Cairo , Egypt ",97.0,"El Sawy Group for Real Estate Investment manages unique investment concepts and ideas across Egypt. Catering to individual and institutional investors, we work with you to develop concepts, prepare feasibility studies, design project plans and handle the execution of such projects to completion and beyond if asset management is required. We currently have specific investment projects to capitalize on Egypt’s real estate investment potential and opportunities. We would be pleased to share further details with you on our proprietary investment ideas as well as discuss turning your own concepts into viable real estate investment projects. Real Estate Asset BrokerageWe cater to all your buy, sell, rental and lease transactions of real estate across Egypt. Our aim is to continuously provide our individual, corporate and institutional investors with suitable property, and ensure such transactions are executed securely and professionally. We offer commercial and residential properties and investments of choice whether you are acquiring new assets in Egypt or need professional management of your existing portfolio of properties. Our dedicated team of experts will handle your needs from asset identification, price and agreement negotiations, payment solutions and transaction completion. Please contact us for a consultation to discuss your unique requirements. Real Estate Value-Added ServicesEl Sawy Group for Real Estate Investment offers a custom-tailored boutique real estate investment experience with a full-service approach. We cater to the personal requirements of real estate tenants and owners where we provide renovation and finishing solutions as well as project management and supervision of work. In addition, we cater to the interior design and architectural requirements of our clients. Please contact us for a consultation to discuss your unique requirements."
48,46,Conceptgroup,2.01013E+11,فيلا 334 شارع مدحت عاصم متفرع من شارع بيرم التونسي امام فندق دوسيت شارع التسعين الجنوبي التجمع الخامس,98.0,
52,50,GreenStoneRealEstate,2.01123E+11,١٣ عمارات العبور - الدور السادس - بجوار بنك إتش إس بي سي,514.0,
54,52,SFRRealEstate,2.01018E+11,105 Thawra street ,57.0,SFR
56,54,CRVRealEstateBrokerage,2.01067E+11,25 ش المسجد المنطقة الرابعة مساكن شيراتون النزهة,39.0,"Whether you’re looking to buy or rent a new home or need assistance selling or renting an existing property; at CRV Brokerage Egypt, we offer the integrity you expect and the experience to make it happen in the most professional and timely mannerCRV Brokerage Egypt is a leading real estate agency focused on Commercial, Residential, Vacation Real Estate Sales and Rentals​""We are dedicated to making the home buying and selling experience positive and straightforward for all customers"""
57,55,ProMaxforRealEstate,2.01007E+11,Kazan Plaza A3 building - Office 206,525.0,
60,58,RAMCEESforrealestate,2.01117E+11,قطعة ٥٤٠ الحي الأول بجوار معهد الحصري الأزهري - ٦ أكتوبر,19.0,
61,59,الطيارعقار,2.01007E+11,العبور,43.0,
67,65,DahabRealEstate,2.01005E+11,مجمع البنوك مكتب ٢٠٨ ,,
68,,38,,,,
70,67,RootsDevelopment,2.01113E+11,"Arkan Plaza, Building 4, Fourth Floor, Sheikh Zayed, Giza, Egypt",360.0,"ROOTS is one of the most esteemed real estate agencies in Egypt devoted to provide housing and investment solutions for our clients. Whether you are seeking a next upgrading MOVE or looking for a good investment deal, ROOTS has it all under one roof. We understand that the process can often be challenging and complicated, so we try to simplify the hard decisions and make it easier based on intensive market researches, bench marking and close following for the market changes. Our clients receive the utmost care and accurate knowledge that’s above and beyond our competitors."
72,69,AfnanRealEstate,2.01127E+11,Building 21- ElShatr 31 -Zahraa ElMaadi ,,
73,1st Floor apartment number 14 ,302,,,,
78,74,SeniorRealEstateDevelopment,2.01145E+11,الجيزه ٦اكتوبر الحي الرابع عماره الصفا ٥٧ شقه ١٠,50.0,
79,75,FirstCapitalsForRealEstate,2.01092E+11,"7th District, Horizon Square, B 131 ",39.0,
81,77,InspectorsRealEstateConsultancy,2.01009E+11,"Villa 107 2nd Neighborhood, 5th zone front of air force hospital90th Street",74.0,"The mission of Insepctors is to be the most successful real estate firm in EgyptSeeking a dynamic and professional environment to work in which will facilitate my personal development in a career suited to my talents developed throughout my years of working in residential and commercial real estate. Upon working for a company of such a nature, I am a dedicated and motivated individual which translates into meeting the goals of the firm. I also aspire to develop within the company and be provided with the opportunities to grow and establish a long term career path. We present Full real estate service that offer our clients property management services in addition to leasing , insurance, brokerage , sales , counseling , appraisal , financing and mortgage banking. Advise clients on market conditions, prices, mortgages, legal requirements and related matters. Dealing with the biggest Developers in Egypt and Middle East. Dealing with projects only (Prime & resale) Answer clients'​ questions regarding construction work, financing, maintenance, repairs, and appraisals. Review plans for new construction with clients, enumerating and recommending available options"
84,79,AdmiralRealEstate,2.01012E+11,"١٨ شارع سمير عبد الرؤف امتداد مكرم عبيد , امام البنك الاهلى ",113.0,"The company Admiral Real Estate aims to reach a leading position among the most prominent marketing and real estate investment companies in the Egyptian market and the Middle East. The company's headquarters is located in Cairo and the company is very proud of its youth spirit, perseverance and the continuous pursuit of excellence, as well as a constant desire to consolidate long-term relationships with customers And the shareholders, partners, and team, who value their respective roles in consolidating the leading position they occupy today. The vision and mission The vision The company aspires to become the preferred real estate marketer for its various clients and the leading entities in real estate marketing investments in parallel with the firm commitment to achieving career development for all workers and employees. Mission Marketing and presenting the best attractive real estate projects. Maximizing the return on investment for shareholders and protecting the interests of all relevant parties, in an effort to gain and enhance their confidence in the company"
86,81,CityRealEstate,2.01001E+11,مدينة العبور الحي الاول منطقة ال ٨٠٠ متر عمارة ١٠٤ الدور الارضي,21.0,
87,82,ConstradeRealEstate,2.01001E+11,"Halla Mall (316), 3rd Floor, South 90, New Cairo",810.0,
94,89,ROInvestment,2.01159E+11,9 عمارات المروه شارع نبيل الوقاد مصر الجديده ,45.0,
95,90,PromiseForRealEstate,2.0114E+11, النيل الأبيض متفرع من ميدان لبنان المهندسين 8 ,99.0,
96,91,شركةالنسرللاستثمارالعقاريوالمقاولاتالعامة,2.01092E+11, ٨٤ ع  حي اول مجاورة ثالثة - امام مدرسة نجيب محفوظ,22.0,
97,92,FutureRealEstate,2.01023E+11,3. أ  إلهيئة  العربية للتصنيع مدينه نصر مكرم عبيد  بجوار ستي سنتر او مسجد الايمان,44.0,
98,93,LuxuryProperty,2.01228E+11,فيلا ٢٨١ - جنوب الأكاديمية - منطفة ج - التجمع الأول - القاهرة الجديدة,631.0,
103,98,DetailsRealEstate,2.01112E+11,khamayel city 6 October,48.0,real estate
105,100,ColdwellBankerPlatinum,2.01001E+11,"238 El- Geish road Arous el ba7r builduing, roushdy ",148.0,
117,111,BetterLifeRealEstate,2.0106E+11,48 شارع ابو حيان التوحيدي مدينه نصر المنطقه السابعه ,313.0,مهمتنا فى Better Life
118,توجيهك وارشادك,,,,,
124,113,LaPlageGroup,2.01004E+11, ٢١ ش الخليفه المامون روكسى - مصر الجديده - الدور الخامس - شقه ٥٠٢ ,37.0,
125,114,الرضوانالعقاريه,2.01E+11, المريوطيه اللبيني على نصية شارع اولاد رجب على اليمين,25.0,
127,116,Castleproperties,2.01028E+11,New Cairo - concord plaza ,107.0,
140,129,LasirenaResale,2.01011E+11,Maadi,284.0,Lasirena Group
148,136,PrimeConsultancy,2.01051E+11,التجمع الخامس,285.0,
149,137,MethaqRealEstate,2.01051E+11,New Cairo,183.0,
150,138,ConsultantsSquare,2.01202E+11,"new cairovilla 292, south Academy fifth settlement ",151.0,
152,140,ZoneProperties.,2.0111E+11,"Madinaty, Banks Area - Office 216 - Above Bank Audi",236.0,
154,142,AzuraRealEstate,2.0106E+11,"37 Baghdad St. El Korba, Heliopolis",229.0,
157,145,KhaledYoussefRealEstate,2.01091E+11,مول فايف ستارز - الحي الثامن - الدور الاول - ٦ اكتوبر ,38.0,"We are Khaled Youssef Company for Investment and Real Estate Marketing.We work in the field of marketing and real estate investment in 6th of October and Sheikh Zayed City.It was founded in 2000 by its chairman and owner, Mr. Khaled Youssef.We have great experience in this field, and we succeeded and excelled in it, thanks to God, who guided us to the fact that honesty and honesty in dealing is the secret of success in any business.- We built more than 20 residential buildings in the first district and a good number of villas in West Somid, and we still have the distinguished tourist and golden tape as well as the ninth district.- Our company works according to the authentic professional rules of the real estate marketing profession, which gives priority in marketing for the benefit of its customers, and this is what we rely on through the approach of the principles on which the company is based.We also have a qualified and experienced team in the field of real estate marketing."
158,146,ElMassaRealEstate,2.01228E+11,nasr city,41.0,
166,154,NewHomeforRealestate,2.01023E+11,١٧٨ طريق الحريه الابراهيميه ,194.0,
168,156,GREENHOUSE,2.0156E+11,المساحة - الدقي,76.0,
170,158,ConceptEgypt,2.01E+11,"23, Abo Dawod Elzahery, Makram Ebied, Nasr City, Cairo",366.0,"Concept Egypt is delivering the finest Real Estate brokerage solution and after sale service, with Concept Egypt we deliever the key conducted criteria to match your needs and expectation wherever you want to relocate or to buy new house. We aim to reach the maximum client satisfaction and to always match your Real Estate searching criteria, our sales team is meant to serve and provide you with the best solution and findings. Concept Egypt is founded by Amr Bendary, Ahmed Abdelawy and Haitham Awad; three of the leading and Real Estate brokerage pioneers. We allocate your best whether its resale units or prime houses all across Egypt."
182,169,FourwallsforRealEstate,01007466675 - 01008828884,فيلا ٢٨ التسعين الشمالي الياسمين ٧ الدور التالت شقه ٨ ,98.0,
197,184,EbiedHome,2.01006E+11,"1st floor, 15 Hassan Maaoun, Nasr City",38.0,
209,196,ARCOWest,2.01003E+11,برج ٣، ابراج برعي بلازا، المحور المركزي، مدينة ٦ اكتوبر,75.0,
210,197,helalygroup,2.01222E+11,نزله دائري مريوطيه فيصل بجوار محلات رسلان,,
211,الدرو الاول عمارة رقم ١٠,51,,,,
220,205,ImageInvestments,2.01099E+11,"23, Taqa st , Nasr city,cairo",100.0,
221,206,KWERealEstate,2.01207E+11,66-el Showifat- South Tessen - New Cairo City -Egypt.,132.0,
222,207,Oscar,2.01028E+11,33قصر النيل-وسط البلد,,
223,,165,,,,
229,212,OrientalHouse,2.01017E+11,التجمع الاول,,
231,فيلا ٣٩٧,43,,,,
234,215,RightMove,2.01009E+11,اكتوبر الحي المتميز غرب سوميد فيلا ٩بلوك ١٨,322.0,
235,216,HappyHomes,2.01151E+11,مكتب هابي هومز المقر الاداري مجمع البنوك مدينتي القاهره الجديده,11.0,
248,227,وسيطللتسويقالعقاري,2.01001E+11,المعادي الجديده ,145.0,
250,229,ContractRealestateMarketing,2.01117E+11,17 شارع النفسج 1 التجمع الاول القاهرة الجديده ,114.0,
258,236,orangegroupe,2.0101E+11,elmaadi,3.0,
261,239,AssetsRealEstateInvestments,2.012E+11,,69.0,
263,241,GPRProperty,2.01147E+11,شقة ٦٠٢ - عمارة ٤ - مشروع دلتا ستارز - ٥أ - طريق النصر - مدينة نصر - القاهرة,1288.0,
265,243,عقاراتحماد,2.01001E+11, 60 ميدان انس ابن مالك المهندسين,54.0,
266,244,تراستاالعقارية,2.01016E+11,عمارة رقم 188 الحى ال16 المجاورة الثانية أمام مزار مول ,,
267,زايد,47,,,,
269,246,صروحالعقارية,2.012E+11,7 ش,,
270,عبد الحكيم الرفاعي ،من عباس العقاد ، مدينة نصر ,50,,,,
271,247,شركهابوطالبللاستثمارالعقاري,2.01061E+11,١٣ ع بوابه حورس ,26.0,
272,248,UpCityRealEstate,2.01004E+11,"Hadaba el Wosta, School Street, Building NO 7, Apartment 1 ",139.0,"About UpCityDevoted to well-versed management and teamwork, in UpCity, we believe that initiative is the way to implement our vision into reality. We focus on meeting our clients’ needs, and surpassing their expectations. Professionalism is always taken into account when dealing with our clients. Comprised of the most experienced team and exclusive resources, our company provides all necessary guidance in regards to the selling, renting, or buying of commercial, residential, or administrative properties. Conveying just the best, our team is dependably primed for your assistance.:Our MissionTo make real estate consultancy endurable for all our clients and provide them with he most cost-effective Solutions."
273,249,OrionRealEstate,2.01113E+11,١٥ شارع الخليج المصرى الأميرية القاهرة,43.0,
275,251,AlBeltagyRealEstate,2.01014E+11,٣٤ ش سيد عامر - مشعل  الهرم - الجيزة,55.0,Zone: South & West
276,252,NileHouseForRealEstate,2.01222E+11,٤ شارع ابن كثير برج قناه السويس الدور ال ٢٣ شقه ١ دكتور عبدالله صاله بجوار مبني السفاره السعوديه الي علي النيل وامام نادي النيل لظباط الشرطه,78.0,
278,254,RemaxPro,2.01051E+11,"44 mohy al deen abu el ezz , mohandsen",119.0,
280,256,SakanyRealEstateAgency,2.01023E+11,٢٧ ش المعز لدين الله - دار السلام,24.0,
283,259,Bright,2.01202E+11,"182, , New Cairo City, Hay Awal, Cairo, Egypt",147.0,
285,261,VIP,2.01051E+11,اديون الفتوح مركز فوه,164.0,يوجد لدينا وحدات سكنية بأرقي مناطق وأحياء التجمع تمليك وايجار بالفرش وبدون الفرش
303,262,شركةالطائفلعقاراتحدائقالاهرام,2.0115E+11,منطقة م حدائق الاهرام مبني ٨٧,61.0,
306,265,OSOL,2.01228E+11,The Village Compound (Palm Hills) - Behind point 90 - Building 20 - apartment 1,251.0,
317,276,ElmostafaRealstate,2.0105E+11,العنوان / 6اكتوبر الحي (11) ابراج سيتي ستار برج رقم (2) الدور الخامس,332.0,
328,287,RedSeaPro,2.01281E+11,الغردقه ٣٠٣ تقسيم الكوثر عقار ٣٠٢,56.0,
329,288,LinesRealEstate,2.01E+11,داخل جهاز B3 - مدينتي,281.0,
337,296,سفنكسللتسويقالعقارى,2.01223E+11,10شارع قاسم منطقة النعام عين شمس,,
338,,22,,,,
341,299,OZEDRealEstate,2.01115E+11,قطعة ٢٢٤٠ ،مج ٨ ، الحي ٢ ، ٦ أكتوبر ,71.0,
349,307,KMORealEstate,2.01001E+11,"Plot 305, 90th street 3rd floor, Green Tower, Zone 2- New Cairo",56.0,
352,310,MyCityRealEstate,2.01061E+11,Heliopolis,169.0,
362,320,TAI-TheAddressInvestments,2.01007E+11,"Building 15 , 4th district South 90th st.",1368.0,"Company Overview:Since we are real estate consultants, we believe that knowledge is thekey word for any successful property consultant.Our Story:Since we are real estate consultants, we believe that knowledge is thekey word for any successful property consultant. so we are always keento update our information and knowledge about related markets andbusiness.Also we are professional in using this knowledge to help our clientseither find their dream home or invest in the right place. So Bsquare isthe benchmark for those who are seeking both short term and long terminvestment.It is worth mentioning that we offer property consultation servicesinternationally not only in the Egyptian market."
363,321,IntegratedRealtorsGroupforRealEstate,2.01033E+11,314 family land mall - gamal abdelnasser ,,
364,October,447,,,,
367,324,DarakMadinaty,2.01117E+11,"B15 Arabisc Mall, Madenty  Cairo Egypt",187.0,"دارك هي إحدى  الشركات الرائدة في مجال التسويق و الاستثمار العقاري في مدينتي و الرحاب و القاهرة الجديدة.نهدف إلى توفير خدمات شاملة لتلبية احتيجاتكم العقارية من بيع, شراء, او استئجار الوحدات العقارية سواء سكنية أو تجارية و نعلم علم اليقين أن الثقة هي العامل الأساسي الذي ينبغي علينا تقديمه لك عندما يتعلق الأمر بشراء أو استئجار أو عرض الممتلكات الخاصة بك للبيع أو الإيجار. كما نقدم لعملائنا افضل الاستشارات للاستثمار العقاري.على الهاتف 01140009810                  About Darak for Real Estate in Madinaty   Darak is a real estate consultancy in New Cairo - Madinaty, who is able to market any property for sale or rent or to invest in                                      the field of real estateWe are working on providing comprehensive services for your real estate needs. If you are willing to make an investment or are interested in buying a residential or a commercial property, we are there for you to ensure translating your plans into realityWe have realized through our individual experience among real estate companies in this field in Madinaty and New Cairo that honesty is the real gate to the costumers. We have reached the conclusion that trust is primary factor we should be offering you when it comes to buying, renting or submitting your  investments"
381,333,Wdealsforrealestate,2.01001E+11,"23 el obour buildings, Nasr City ",254.0,"Head Office : 23 Al Obour Buildings – Salah Salem – Nasr City WDEALS company provides a variety of services that meet all the requirements of the real estate market efficiently and with high accuracy, through a specialized team with experience in dealing.These services are provided based on scientific principles that include preliminary research and studies to assess the feasibility of projects and the stages of their implementation, ending with the delivery of units to clients, and include research and evaluation, financial intermediation and development, investment portfolio management, project and property management in addition to real estate marketing."
387,339,Starthomes,2.01144E+11,مدينه الرحاب المبني الإدارى مكتب رقم 102 الدور الأول,155.0,
390,341,New.Home,2.01111E+11,دريم لاند -السادس من أكتوبر - الجيزة,25.0,
396,347,المتحدةللتسويقالعقاري,2.0103E+11,220 دجله المعادي ، القاهرة ,35.0,
399,350,مكتبالساعةللعقارات,2.01093E+11,عمارات رابعة الاستثماري عمارة 8 اول عباس العقاد,,
400,مدينة نصر,13,,,,
413,363,CelesteDevelopment,2.01E+11,٢٢ عمارات العبور صلاح سالم,73.0,
417,367,GPMGroupforPropertymanagement,2.01003E+11,"villa 360, south academy (A), north 90th street, 5th settlement, Cairo (infront of eskan & taameer bank)",93.0,"Through the full 5 years we used our passion in Real Estate to   providing superior counsel to our buyers and sellers through   leadership, knowledge and 15 years of experience in the same field"
420,370,Bagdadi,2.01092E+11,1 madinaty  ,41.0,
421,371,كايروللعقارات,2.01067E+11,١ شارع يوسف بن نصير,,
423,القاهرة ,24,,,,
426,374,ElOmdaRealEstate,2.01289E+11, Hurghada- Al-Nasr Street - Al-Tahrir Building - in front of Gobus office.,,
433,379,A2ZRealEstate,2.01159E+11,مجموعة ٦٢ عمارة ١٦ شقة ٣,16.0,
434,380,ElAkadeenGroup,2.01012E+11,إحنا 1 شارع الخليفة الهادي أمام الجامعه الامريكيه متفرع من شارع الامام علي ميدان الاسماعيليه مصر الجديده,20.0,
435,381,NextConsultancy,2.01102E+11,30 abo dawoud el zahery street nasr city ,49.0,
437,383,i-design,2.01002E+11,محل رقم f 31A مول سيتي بلازا الشروق,45.0,
439,385,PropertyHillsOne,2.01154E+11,Building A Twin tower - SHekh zayed ,663.0,
445,390,EngazforRealEstate,2.01146E+11,"Administrative building, Rehab City.",111.0,
449,394,MoveInEgypt,2.01E+11,"6062 Academy Street, Mokattam",65.0,
451,396,TheWay,2.01012E+11,الدقي ٥ شارع مصدق ,103.0,
456,401,PinnacleHomes,2.01006E+11,التجمع الخامس,143.0,
457,402,GoldenVision,2.01111E+11,7 Grand mall sherok city,77.0,
467,412,AmlakMarketingConsultants,2.01284E+11,"Capital Business Park, Sheikh Zayed",80.0,"-Amlak Real Estate Inv & Marketing is a Joint Stock Company founded in Egypt.-Our offices  extend to Qatar , UAE , & SAE .-Our mission is to build a global property-related brand that: Delivers world class customer service.-Our Goal is Service Excellence  to achieve 100% satisfaction rating"
470,415,الاستثمارالمصري,2.01128E+11,٧ شارع نابلوس ,90.0,
473,418,Amwaj,2.0101E+11,١٥ جامعه الدول الدور الرابع ,18.0,
474,419,Presentation,2.01226E+11,Badr City - 1st ,49.0,
480,425,نورالهديللتسويقالعقاري,2.01101E+11,٨٥ أ الحي العاشر - المجاورة الرابعة - ٦ اكتوبر ثان ,15.0,
491,436,مكتبسكرمصر,2.01019E+11,عباس العقاد- مدينة نصر,2.0,
494,439,المؤسسةالعقاريةللإستثماروالتسويقالعقاري,2.01091E+11,الحي الخامس مجاورة ١,34.0,
499,444,Birdnest,2.01E+11,El bansfig Villat New Cairo ,16.0,
501,446,ElnasharForRealEstate,2.01028E+11,6th october,2.0,
503,448,KARTAJREALESTATE,2.01099E+11,Maadi,46.0,
508,453,Gaby'sHomes,2.01007E+11,New Cairo,100.0,
517,462,sokrmasrreal-estate,2.0109E+11,عباس العقاد - مدينه نصر ,18.0,
519,464,NewAvenueRealEstate,2.01281E+11,"7 Nazih Khalifa, ElKorba,  Heliopolis, Egypt ",2604.0,"About Us:Real Estate Consultancy based in Egypt, We provide comprehensive services for all real estate needs, Win-Win Relationship with our Real Estate Investors clients’.We help our clients to make the most beneficial decisions through out the selling and buying processSelling, Buying and Renting.New Avenue’s Strategy:To become Egypt’s number ONE real estate consultancy, Supporting our customers’ investment & living plans.Our Mission:To provide the highest quality service as well as unprecedented network of property options when it comes advising our customers’ on investment decisions as well as real estate sales & rental in theresidential and commercial sector.Our Values:- Serving with Integrity- Passion for customers- Commitment to excellenceKey Services:Our ultimate service is meeting or exceeding our clients’ expectations by offering:Property BuyingProperty Selling.Our Team:Enthusiastic team working on delivering unexpected results to our clients. Experienced in all aspects of the Real Estate industry as Planning, Economic development, Finance, Marketing &exceptional property handling."
525,470,MeezaforRealestate,2.01022E+11,٥٣ ش فيكتور عمانويل امام باب مول زهران ,188.0,شركة ميزة للتسويق العقارى والتشطيبات واعمال الديكور
544,473,FinderforRealEstate,2.01145E+11,اركان الشيخ زايد,11.0,
546,475,AqarDayem,2.01112E+11,٣٠ شارع سييوية المصري من شارع الطيران مدينة,61.0,
548,477,Empirerealestateandinvestment,2.0103E+11,Centro mall - New Cairo 299,503.0,
549,478,FatenforRealEstate,2.01095E+11,٣ مجموعة ٣٤- الرحاب - التجمع الاول - القاهرة,50.0,
553,482,EgyptBestProperties,2.01225E+11,"District 4, Area 5, Katameya",1059.0,"Who We Are Egypt Best Properties (EBP) is a real estate marketing company that was established in 2005 by a professional real estate team. For 10 years we have offered excellent services to clients from all over the world and managed a portfolio of properties for a wide range of Egyptian buyers and investors, international companies, and local organizations. We serve our clients from four offices covering greater Cairo: Maadi, New Cairo, Zamalek, and 6th October City. What We DoEBP is a home and real estate marketplace dedicated to helping homeowners, homebuyers, sellers, renters, real estate agents, mortgage professionals, and property managers find and share vital information about homes, real estate, mortgages and home improvement. We are transforming the way consumers make home-related decisions and connect with professionals. It starts with our living database including homes for sale, homes for rent and homes not currently listed on the market.Our VisionTo become Egypt’s number one real estate company and act as a benchmark for local and international companies."
560,489,K-WEST,2.01E+11,الشيخ زايد كمبوند بيڤرلي هيلز- عمارة ١٦ اتقان - شقة ٣٣,99.0,
563,492,ElegantHome,2.01012E+11,سما مول، الحي الثاني، المنطقة الاولي ، التجمع الخامس، الدور 2,196.0,
564,493,FlagsquareRealEstate,2.01E+11,midpoint Mall beverly hilla Sheikh Zayed ,202.0,
568,497,UNITXRealEstate,2.01122E+11,308 Plaza Sheikh Zayed City --Giza- Egypt ,619.0,
570,499,InspireRealEstate.,0,None,0.0,None
572,501,HouseGateRealEstate,2.01024E+11,Third District of El sherouk cit villa 82,10.0,
574,503,KABForRealEstate,2.01281E+11,"2203 park street, Elsheikh Zayed, Giza, Egypt ",396.0,
575,504,NextDoorConsultancy,2.01004E+11,٤٨ ش الحرية الماظه مصر الجديده القاهره,501.0,"Next Door Consultancy is a dynamic full fledged real estate brokerage firm, capitalizing on our wide range of over 20 years of professional and academic experiences."
577,506,MAVille,2.01026E+11, منطقة CRAFT ZONE,,
579, محل رقم 64,16,,,,
